Date_Time,PredictPower
2024/6/16 1:15,8.30068
2024/6/16 1:30,8.85753
2024/6/16 1:45,9.4515
2024/6/16 2:00,10.0855
2024/6/16 2:15,10.719
2024/6/16 2:30,11.352
2024/6/16 2:45,11.9579
2024/6/16 3:00,12.5628
2024/6/16 3:15,13.1795
2024/6/16 3:30,13.768
2024/6/16 3:45,14.3682
2024/6/16 4:00,15.1317
2024/6/16 4:15,15.9083
2024/6/16 4:30,16.6766
2024/6/16 4:45,17.4386
2024/6/16 5:00,18.1515
2024/6/16 5:15,18.6603
2024/6/16 5:30,18.9431
2024/6/16 5:45,19.0114
2024/6/16 6:00,18.9903
2024/6/16 6:15,18.9673
2024/6/16 6:30,18.9113
2024/6/16 6:45,18.8484
2024/6/16 7:00,18.813
2024/6/16 7:15,18.856
2024/6/16 7:30,19.0169
2024/6/16 7:45,19.2585
2024/6/16 8:00,19.6195
2024/6/16 8:15,20.1226
2024/6/16 8:30,20.2306
2024/6/16 8:45,20.4203
2024/6/16 9:00,20.6364
2024/6/16 9:15,20.7069
2024/6/16 9:30,20.7059
2024/6/16 9:45,20.6343
2024/6/16 10:00,20.5644
2024/6/16 10:15,20.6196
2024/6/16 10:30,20.7967
2024/6/16 10:45,21.1194
2024/6/16 11:00,21.4626
2024/6/16 11:15,21.7732
2024/6/16 11:30,22.1276
2024/6/16 11:45,22.4513
2024/6/16 12:00,22.7389
2024/6/16 12:15,22.948
2024/6/16 12:30,23.1047
2024/6/16 12:45,23.1804
2024/6/16 13:00,23.1702
2024/6/16 13:15,22.9855
2024/6/16 13:30,23.2272
2024/6/16 13:45,23.3481
2024/6/16 14:00,23.4359
2024/6/16 14:15,23.5912
2024/6/16 14:30,23.7804
2024/6/16 14:45,24.0005
2024/6/16 15:00,24.2218
2024/6/16 15:15,24.3744
2024/6/16 15:30,24.4005
2024/6/16 15:45,24.3703
2024/6/16 16:00,24.2833
2024/6/16 16:15,24.6655
2024/6/16 16:30,24.8865
2024/6/16 16:45,25.0196
2024/6/16 17:00,25.0805
2024/6/16 17:15,25.1058
2024/6/16 17:30,25.0296
2024/6/16 17:45,24.9177
2024/6/16 18:00,24.775
2024/6/16 18:15,24.627
2024/6/16 18:30,24.4464
2024/6/16 18:45,24.2674
2024/6/16 19:00,24.0573
2024/6/16 19:15,23.8509
2024/6/16 19:30,23.6831
2024/6/16 19:45,23.5538
2024/6/16 20:00,23.4244
2024/6/16 20:15,23.2883
2024/6/16 20:30,23.2781
2024/6/16 20:45,23.2862
2024/6/16 21:00,23.313
